대분류,중분류,소분류,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
영업활동,매출수금,MLB,451644916.6,354470904.9,537410215.5,439164541.1,329071322.4,246004546.8,240643724.8,284271061.3,330658823.2,415615793.4,580158968.6,411177730.2
영업활동,매출수금,MLB KIDS,24699235.96,28422755.47,23700811.32,24061876.26,20463121.39,8822179.78,5482657.65,12527605.76,21219913.81,27330044.86,17908669.2,21075795.11
영업활동,매출수금,DISCOVERY,0,0,0,0,0,0,0,0,21092.5,172119.46,1513675.71,1702554.1
영업활동,매출수금,DUVETICA,2694328.15,3657598.8,2926069.72,1127106.4,804756.93,626555.42,460039.92,341889.34,520445.7,1027874.09,2200988.86,3504825.38
영업활동,매출수금,SUPRA,3039333.7,1551722.1,1509001.4,457283.51,1134091.84,1182299.89,614752.07,503870.92,600756.44,820650.21,1064988.5,1810049.91
영업활동,물품대,본사,-177653794,-326057608.2,-295145541.8,-138114438.5,-37548832.85,-142015898.7,-158150929.7,-234734663.4,-468327172.9,-259889835.8,-116448845.5,-221711091.3
영업활동,물품대,현지,-76546048.1,-36143042.54,-30321788.57,-12897971.19,-20253952.71,-18337309.51,-21440175.24,-38010458.9,-49850177.01,-32374657.75,-11070473.34,-26853731.18
영업활동,본사선급금,,,0,-300000000,0,0,0,,0,0,0,-470000000,0
차입금,,,-70000000,140000000,150000000,-150000000,-240000000,0,100000000,60000000,300000000,0,50000000,-10000000
기타수익,,,600381.96,3531438.01,4030716.3,1089877.14,33378403.8,676829.3,539188.05,586044.4,1213721.44,561289.95,275897.47,1837305.55
영업활동,비용,광고비,-30297257.37,-12252333.84,-12392618.56,-27078697.47,-6074730.83,-8543657.83,-14749379.96,-8732220.27,-14497716.55,-11943043.6,-9585515.64,-22275909.03
영업활동,비용,온라인 플랫폼비용,-34145220.11,-11792678.67,-13283142.74,-17503708.82,-22564179.56,-14513769.25,-8733645.108,-10768473.52,-12314076.83,-30756845.48,-23122649.01,-24463399.75
영업활동,비용,오프라인 매장비용,-21710237.58,-24338931.12,-20376982.33,-25832676.43,-21274628.68,-22478685.64,-19710359.98,-25952163.39,-20683746.47,-23630378.21,-25041276.09,-33150814.59
영업활동,비용,수입증치세,-46271662.66,-51598623.51,-26455024.09,-35315932.96,-5652404.64,-10893465.66,-22773418.15,-64829962.63,-47742337.81,-46092699.73,-28901064.6,-17963032.79
영업활동,비용,인건비,-8702652.66,-12493494.97,-24985850.26,-7831031.35,-7607334.26,-8877813.24,-7827530.41,-7550238.88,-7766517.58,-7869907.94,-8004515.77,-8517376.71
자산성지출,인테리어/VMD,,-3141481.88,-2438410.12,-236772.3,-1248894.08,-574982.73,-974155.1,-578422,-4475989.73,-14153270.5,-2548776.02,-13320,-3695094.72
자산성지출,비품취득,,-3761455.71,-256123.91,-99520.73,-384492.56,-212003.62,-76058.8,-298126.92,-338620.04,-124357.28,-317231.41,-488571.28,-601415.85
영업활동,비용,보증금지급,-394752.21,-130000,-848304.72,-1460551.24,-1704450.28,-1005332.49,-1544362.36,-60000,-727470.7,-1050176,0,-227490.9
영업활동,비용,사무실임차료,-1607946.3,-1608384.08,-1609580.41,-1608095.16,-1605772.72,-1605068.89,-1621277.77,-1626755.79,-1622451.67,-1640489.25,-1762114.73,-1861916.97
영업활동,비용,지급수수료,-540298.49,-978023.84,-310745.66,-775672.32,-722054.48,-643048.87,-760197.12,-788920.86,-587998.37,-749435.81,-532499.81,-1063386.66
영업활동,비용,이자비용,-343583.34,-300083.34,0,-1110666.66,-907666.67,0,0,-133333.33,-129166.67,-392333.33,-281145,-2031447.2
영업활동,비용,Withholding/VAT,-26376366.4,-26367759.89,-496725.83,-4591418.74,-433380.85,-17623511.32,-13464321.42,-6419747.28,-559975.5,-12964493.43,-1881253.18,-2336879.66
영업활동,비용,법인세,-59717.5,0,0,-31992255.12,-31319480.69,0,-27879554.3,0,0,-16617640.41,0,0
영업활동,비용,기타비용,-159358.24,-159183.67,-184730,-172715.45,-147041.61,-229309.48,-244309.4,-223443.72,-521663.79,-255769.13,-176448.02,-365528.65
